epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.4913,1.69543,4.22271,2.53516,0.008,1,0.06568,0.03732,1.50812,4.38832,2.67531,0,0,0
2,8.27161,1.85302,4.17583,2.65172,0.00794,1,0.05865,0.03321,1.48914,4.30727,2.62489,1.50197e-05,1.50197e-05,1.50197e-05
3,10.8738,1.57957,4.10903,2.27242,0.00796,1,0.06374,0.03786,1.48771,4.193,2.55263,2.67387e-05,2.67387e-05,2.67387e-05
4,13.3331,1.18275,4.0495,1.80718,0.008,1,0.0645,0.03748,1.45889,4.12396,2.44302,3.5157e-05,3.5157e-05,3.5157e-05
5,15.8099,1.60113,4.13465,2.40296,0.00796,1,0.06723,0.03683,1.43671,4.02224,2.32552,4.02747e-05,4.02747e-05,4.02747e-05
6,18.35,1.40943,3.87229,2.01796,0.00779,1,0.07671,0.03967,1.3956,3.96361,2.27238,4.20917e-05,4.20917e-05,4.20917e-05
7,20.8299,1.05915,3.62469,1.55364,0.00773,1,0.08269,0.04825,1.28682,4.14345,2.10941,4.06081e-05,4.06081e-05,4.06081e-05
8,23.4325,0.85457,3.45392,1.36438,0.00763,1,0.13568,0.05572,1.16968,4.18309,2.01163,3.58238e-05,3.58238e-05,3.58238e-05
9,25.9629,0.85126,3.46159,1.32815,0.00744,1,0.12978,0.06574,1.14004,4.22545,1.96666,2.77389e-05,2.77389e-05,2.77389e-05
10,28.5323,0.82748,3.36866,1.36389,0.00739,1,0.13568,0.06157,1.12803,4.06669,1.88999,1.63533e-05,1.63533e-05,1.63533e-05
