epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.7531,0.7675,1.60797,1.12741,0.99815,1,0.995,0.79351,0.82291,0.92922,1.09213,0.000546086,0.000546086,0.000546086
2,65.0826,0.5775,0.78928,0.93199,0.97608,0.97143,0.99126,0.8182,0.66991,0.65649,0.95187,0.00107994,0.00107994,0.00107994
3,97.0504,0.55324,0.67131,0.92541,0.99947,1,0.995,0.84669,0.64304,0.50504,0.95302,0.00159179,0.00159179,0.00159179
4,130.777,0.52387,0.57196,0.91343,0.98406,1,0.99483,0.79937,0.7684,0.50484,0.98818,0.00156798,0.00156798,0.00156798
5,163.514,0.50953,0.49341,0.90267,1,0.99948,0.995,0.86537,0.55013,0.38627,0.90869,0.00153497,0.00153497,0.00153497
6,197.674,0.46788,0.4243,0.89061,0.99957,1,0.995,0.85697,0.62978,0.36317,0.92237,0.00150197,0.00150197,0.00150197
7,228.908,0.46319,0.40491,0.88357,0.99959,1,0.995,0.9019,0.50682,0.32059,0.86067,0.00146896,0.00146896,0.00146896
8,262.95,0.45289,0.37892,0.88396,0.99967,1,0.995,0.88319,0.49827,0.27848,0.86656,0.00143595,0.00143595,0.00143595
9,294.198,0.4485,0.3561,0.88559,0.99968,1,0.995,0.83482,0.61089,0.37777,0.98179,0.00140295,0.00140295,0.00140295
10,325.252,0.43381,0.33783,0.87863,0.99963,1,0.995,0.86534,0.60242,0.33407,0.92376,0.00136994,0.00136994,0.00136994
11,357.234,0.41635,0.31916,0.87351,0.99952,1,0.995,0.88566,0.52486,0.2929,0.87226,0.00133693,0.00133693,0.00133693
12,391.677,0.40429,0.30207,0.86285,0.99984,1,0.995,0.89695,0.53399,0.3103,0.88822,0.00130393,0.00130393,0.00130393
13,423.702,0.40058,0.30009,0.86673,0.99834,1,0.995,0.87576,0.52046,0.27365,0.86697,0.00127092,0.00127092,0.00127092
14,456.108,0.40048,0.29683,0.86881,0.99967,1,0.995,0.83063,0.70384,0.37662,0.9997,0.00123791,0.00123791,0.00123791
15,489.674,0.39347,0.28317,0.86526,0.99967,1,0.995,0.85188,0.5993,0.30233,0.89651,0.00120491,0.00120491,0.00120491
16,521.625,0.38923,0.27903,0.8608,0.99387,1,0.99494,0.80574,0.88468,0.38976,1.09957,0.0011719,0.0011719,0.0011719
17,555.052,0.4008,0.2879,0.87124,0.99969,1,0.995,0.85853,0.70479,0.34487,1.03192,0.00113889,0.00113889,0.00113889
18,587.451,0.3706,0.26707,0.85617,0.99967,1,0.995,0.91347,0.47876,0.27632,0.86291,0.00110589,0.00110589,0.00110589
19,621.073,0.38375,0.26678,0.86143,0.99961,1,0.995,0.88956,0.488,0.26881,0.84738,0.00107288,0.00107288,0.00107288
20,652.814,0.36948,0.25836,0.85437,0.99958,1,0.995,0.86748,0.56053,0.27419,0.8839,0.00103987,0.00103987,0.00103987
21,685.068,0.36506,0.26406,0.8579,0.99972,1,0.995,0.86838,0.71977,0.31348,1.0103,0.00100687,0.00100687,0.00100687
22,720.925,0.35838,0.25488,0.85502,0.99966,1,0.995,0.86816,0.58169,0.2878,0.89866,0.000973861,0.000973861,0.000973861
23,752.249,0.3612,0.25155,0.85835,0.99967,1,0.995,0.89309,0.49774,0.25436,0.85554,0.000940855,0.000940855,0.000940855
24,784.627,0.35163,0.24771,0.85028,0.99969,1,0.995,0.91002,0.48469,0.24727,0.85931,0.000907848,0.000907848,0.000907848
25,818.227,0.34988,0.24495,0.8564,0.99967,1,0.995,0.92959,0.3884,0.20211,0.8221,0.000874842,0.000874842,0.000874842
26,850.727,0.33646,0.23562,0.84606,0.99965,1,0.995,0.90293,0.52011,0.24871,0.8714,0.000841835,0.000841835,0.000841835
27,884.223,0.33835,0.23541,0.84565,0.99971,1,0.995,0.91424,0.50629,0.28125,0.88036,0.000808828,0.000808828,0.000808828
28,917.101,0.33982,0.23611,0.84797,0.99968,1,0.995,0.90777,0.4625,0.23353,0.83851,0.000775822,0.000775822,0.000775822
29,948.822,0.32778,0.22805,0.84636,0.99969,1,0.995,0.89172,0.51936,0.24603,0.86984,0.000742815,0.000742815,0.000742815
30,980.211,0.33501,0.22595,0.85185,0.99969,1,0.995,0.87294,0.6157,0.26821,0.92984,0.000709809,0.000709809,0.000709809
31,1012.1,0.32562,0.22044,0.84489,0.99968,1,0.995,0.89707,0.56972,0.28067,0.90018,0.000676802,0.000676802,0.000676802
32,1046.91,0.30972,0.21776,0.83954,0.99968,1,0.995,0.89932,0.49071,0.22496,0.85411,0.000643795,0.000643795,0.000643795
33,1078.32,0.31391,0.21545,0.84054,0.99967,1,0.995,0.92777,0.41716,0.21133,0.82454,0.000610789,0.000610789,0.000610789
34,1109.69,0.30946,0.21186,0.83776,0.99965,1,0.995,0.90022,0.47948,0.26323,0.85679,0.000577782,0.000577782,0.000577782
35,1141.48,0.31049,0.21431,0.84146,0.99966,1,0.995,0.89098,0.4898,0.22595,0.85491,0.000544776,0.000544776,0.000544776
36,1175.04,0.31312,0.21453,0.84563,0.9996,1,0.995,0.9079,0.44335,0.22363,0.84772,0.000511769,0.000511769,0.000511769
37,1206.63,0.29575,0.20321,0.83564,0.99969,1,0.995,0.91459,0.43283,0.20628,0.83444,0.000478762,0.000478762,0.000478762
38,1240.95,0.29825,0.19897,0.83847,0.99966,1,0.995,0.91134,0.42991,0.20392,0.83824,0.000445756,0.000445756,0.000445756
39,1273.38,0.29437,0.20145,0.83604,0.99969,1,0.995,0.8993,0.46472,0.20892,0.84446,0.000412749,0.000412749,0.000412749
40,1305.3,0.28582,0.19738,0.83979,0.99967,1,0.995,0.90854,0.46844,0.21622,0.84945,0.000379743,0.000379743,0.000379743
41,1339.95,0.23842,0.15895,0.78661,0.99961,1,0.995,0.90563,0.46999,0.24444,0.86116,0.000346736,0.000346736,0.000346736
42,1373.5,0.24342,0.16061,0.78743,0.99969,1,0.995,0.91671,0.44575,0.19764,0.84936,0.000313729,0.000313729,0.000313729
43,1407.88,0.24209,0.16233,0.77853,0.99963,1,0.995,0.87714,0.53459,0.29428,0.88896,0.000280723,0.000280723,0.000280723
44,1439.53,0.24022,0.15871,0.7795,0.99969,1,0.995,0.92073,0.4714,0.22771,0.85915,0.000247716,0.000247716,0.000247716
45,1472.07,0.23072,0.15107,0.77143,0.99965,1,0.995,0.90977,0.47263,0.22105,0.86167,0.00021471,0.00021471,0.00021471
46,1504.96,0.21696,0.14136,0.78014,0.99968,1,0.995,0.91348,0.47418,0.2385,0.86572,0.000181703,0.000181703,0.000181703
47,1536.67,0.21825,0.13768,0.7754,0.99967,1,0.995,0.92514,0.44675,0.22253,0.84493,0.000148696,0.000148696,0.000148696
48,1570.67,0.21192,0.13496,0.7752,0.99966,1,0.995,0.91717,0.46045,0.22832,0.85828,0.00011569,0.00011569,0.00011569
49,1603.91,0.20875,0.12751,0.77881,0.99968,1,0.995,0.90976,0.45912,0.20996,0.8522,8.26832e-05,8.26832e-05,8.26832e-05
50,1635.53,0.20419,0.12514,0.77067,0.99966,1,0.995,0.91774,0.45684,0.213,0.8517,4.96766e-05,4.96766e-05,4.96766e-05
