epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4957,1.76834,2.91251,1.96639,0.75764,0.58951,0.67248,0.18226,1.96968,2.44423,2.24751,0.000546086,0.000546086,0.000546086
2,22.8135,1.5426,1.91157,1.654,0.6441,0.47572,0.61392,0.21193,2.12514,2.21215,2.45613,0.00107994,0.00107994,0.00107994
3,32.9414,1.45494,1.56786,1.52222,0.7096,0.54857,0.55557,0.11499,2.79081,2.28344,3.19475,0.00159179,0.00159179,0.00159179
4,42.6178,1.44469,1.40942,1.49663,0.56184,0.71429,0.61139,0.13777,2.78228,2.73432,3.06484,0.00156798,0.00156798,0.00156798
5,52.3566,1.4067,1.21275,1.45707,0.8223,0.89714,0.85364,0.29095,2.26548,1.26799,2.51599,0.00153497,0.00153497,0.00153497
6,61.8064,1.37717,1.05396,1.44114,0.90405,0.72571,0.83103,0.31668,2.32012,1.32063,2.66187,0.00150197,0.00150197,0.00150197
7,71.3462,1.35655,1.03815,1.43112,0.92405,0.94286,0.97072,0.37698,2.02879,1.03714,2.24948,0.00146896,0.00146896,0.00146896
8,82.0367,1.31024,0.91592,1.39305,0.83316,0.83429,0.82762,0.25795,2.74992,1.10886,3.11641,0.00143595,0.00143595,0.00143595
9,92.1942,1.32933,0.91151,1.39318,0.88759,0.88,0.9303,0.32786,2.19865,1.0333,2.36175,0.00140295,0.00140295,0.00140295
10,101.28,1.23558,0.8453,1.33186,0.79542,0.77762,0.88764,0.36379,2.18974,1.01145,2.31065,0.00136994,0.00136994,0.00136994
11,110.723,1.29597,0.82965,1.37941,0.89948,0.84571,0.93274,0.27031,2.49061,1.1333,2.83254,0.00133693,0.00133693,0.00133693
12,122.923,1.26521,0.79475,1.35432,0.91567,0.93714,0.96119,0.3848,2.08445,0.9887,2.33462,0.00130393,0.00130393,0.00130393
13,132.23,1.22002,0.7668,1.32146,0.9653,0.97143,0.98096,0.39103,2.15268,0.86039,2.44005,0.00127092,0.00127092,0.00127092
14,141.349,1.21875,0.74006,1.33211,0.91254,0.96,0.96621,0.37302,2.23968,0.88367,2.34235,0.00123791,0.00123791,0.00123791
15,152.466,1.24073,0.77093,1.32894,0.92717,0.94566,0.9553,0.32376,2.50572,0.88161,2.74948,0.00120491,0.00120491,0.00120491
16,161.693,1.19469,0.69573,1.30158,0.89245,0.89714,0.93732,0.34498,2.30042,0.92789,2.58735,0.0011719,0.0011719,0.0011719
17,170.718,1.14827,0.68682,1.27116,0.83266,0.90986,0.91125,0.29066,2.44075,0.99312,2.78673,0.00113889,0.00113889,0.00113889
18,179.564,1.15826,0.67052,1.28169,0.90512,0.89714,0.91086,0.34711,2.31371,0.80663,2.68225,0.00110589,0.00110589,0.00110589
19,188.536,1.13499,0.65447,1.25018,0.93285,0.89143,0.93962,0.27949,2.58282,1.06298,3.07086,0.00107288,0.00107288,0.00107288
20,198.329,1.11432,0.6416,1.24394,0.92368,0.89911,0.96293,0.40803,2.0575,0.85979,2.21981,0.00103987,0.00103987,0.00103987
21,208.312,1.10316,0.60904,1.25717,0.93627,0.94857,0.9608,0.32437,2.40885,0.93812,2.73884,0.00100687,0.00100687,0.00100687
22,217.147,1.06613,0.60151,1.23771,0.9098,0.92222,0.94359,0.35002,2.28359,0.91319,2.56274,0.000973861,0.000973861,0.000973861
23,226.065,1.08645,0.6061,1.24725,0.93165,0.92571,0.94713,0.32331,2.4801,0.88444,2.81103,0.000940855,0.000940855,0.000940855
24,235.007,1.0173,0.58156,1.19616,0.89902,0.96657,0.97207,0.27827,2.59653,0.89431,3.19458,0.000907848,0.000907848,0.000907848
25,243.882,1.07129,0.61215,1.22731,0.94783,0.96,0.96626,0.34074,2.35421,0.7423,2.83122,0.000874842,0.000874842,0.000874842
26,252.823,1.024,0.57458,1.20609,0.87353,0.94286,0.94877,0.35151,2.42869,0.83091,2.75712,0.000841835,0.000841835,0.000841835
27,261.795,1.01519,0.56744,1.20397,0.88097,0.93043,0.92544,0.29171,2.60869,0.91757,3.33228,0.000808828,0.000808828,0.000808828
28,270.698,1.01644,0.56065,1.18988,0.89565,0.93714,0.94205,0.3651,2.25831,0.80538,2.73663,0.000775822,0.000775822,0.000775822
29,279.56,0.99815,0.54956,1.18137,0.88667,0.95429,0.94441,0.33485,2.39867,0.85953,2.88295,0.000742815,0.000742815,0.000742815
30,288.43,1.0215,0.55817,1.20067,0.83722,0.90857,0.93033,0.3536,2.38546,0.89285,2.66366,0.000709809,0.000709809,0.000709809
31,297.261,0.98069,0.52182,1.17811,0.87497,0.93714,0.94163,0.36558,2.31669,0.83928,2.93211,0.000676802,0.000676802,0.000676802
